[01;30m[DEBUG]	asctime:2019-08-22 11:31:14	process:37964	thread:47648	module:my_logging	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/my_logging.py:16	message:DEBUG ∑π∫ß¿‘¥œ¥Ÿ.[0m
[37m[INFO]	asctime:2019-08-22 11:31:14	process:37964	thread:47648	module:my_logging	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/my_logging.py:17	message:INFO ∑π∫ß¿‘¥œ¥Ÿ.[0m
[33m[WARNING]	asctime:2019-08-22 11:31:14	process:37964	thread:47648	module:my_logging	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/my_logging.py:18	message:WARNING ∑π∫ß¿‘¥œ¥Ÿ.[0m
[31m[ERROR]	asctime:2019-08-22 11:31:14	process:37964	thread:47648	module:my_logging	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/my_logging.py:19	message:ERROR ∑π∫ß¿‘¥œ¥Ÿ.[0m
[01;31m[CRITICAL]	asctime:2019-08-22 11:31:14	process:37964	thread:47648	module:my_logging	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/my_logging.py:20	message:CRITICAL ∑π∫ß¿‘¥œ¥Ÿ.[0m
[37m[INFO]	asctime:2019-08-22 12:55:23	process:9312	thread:26484	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:54	message:[main start][0m
[37m[INFO]	asctime:2019-08-22 12:55:23	process:9312	thread:38192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 3.5 01PavanePourUneInfanteDfuntePourPianoMr19.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:23	process:9312	thread:4192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 3.5 02JeuxDeauPourPianoMr30.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:31	process:9312	thread:4192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] 02JeuxDeauPourPianoMr30.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:31	process:9312	thread:4192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 2.5 03SonatinePourPianoMr40-Modr.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:32	process:9312	thread:38192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] 01PavanePourUneInfanteDfuntePourPianoMr19.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:32	process:9312	thread:38192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 2.5 04MouvementDeMenuet.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:36	process:9312	thread:4192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] 03SonatinePourPianoMr40-Modr.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:36	process:9312	thread:4192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 3.0 05Anim.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:38	process:9312	thread:38192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] 04MouvementDeMenuet.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:43	process:9312	thread:4192	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] 05Anim.mp3[0m
[37m[INFO]	asctime:2019-08-22 12:55:43	process:9312	thread:26484	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:70	message:[main finished][0m
[37m[INFO]	asctime:2019-08-22 13:05:21	process:45300	thread:25956	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:54	message:[main start][0m
[37m[INFO]	asctime:2019-08-22 13:05:21	process:45300	thread:18276	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 3.5 mp01PavanePourUneInfanteDfuntePourPianoMr19.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:21	process:45300	thread:37992	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 1.5 mp02JeuxDeauPourPianoMr30.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:28	process:45300	thread:18276	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] mp01PavanePourUneInfanteDfuntePourPianoMr19.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:28	process:45300	thread:18276	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 3.0 mp03SonatinePourPianoMr40-Modr.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:30	process:45300	thread:37992	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] mp02JeuxDeauPourPianoMr30.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:30	process:45300	thread:37992	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 1.5 mp04MouvementDeMenuet.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:34	process:45300	thread:18276	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] mp03SonatinePourPianoMr40-Modr.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:34	process:45300	thread:18276	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:37	message:[download start] sleep: 3.0 mp05Anim.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:39	process:45300	thread:37992	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] mp04MouvementDeMenuet.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:42	process:45300	thread:18276	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:46	message:[download finished] mp05Anim.mp3[0m
[37m[INFO]	asctime:2019-08-22 13:05:42	process:45300	thread:25956	module:5-9-music_download	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-9-music_download.py:70	message:[main finished][0m
[37m[INFO]	asctime:2019-08-22 13:20:47	process:34900	thread:50524	module:5-10-celery_sample	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/5-10-celery_sample.py:122	message:[main start][0m
[37m[INFO]	asctime:2019-08-22 13:33:00	process:17688	thread:40360	module:celery_sample	D:/1.Workspace/1.Python/07.PythonCrawler/chapter_5/celery_sample.py:122	message:[main start][0m
